"m","p","tau","rho","width_us","width_riqite","cover_us","cover_riqite","quants_check"
500,0.6,1,0.1,-1.22122122122122,-1.158,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.74074074074074,-0.602,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.42042042042042,-0.169,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.1001001001001,0.282,TRUE,TRUE,0.9
500,0.6,1,0.1,0.18018018018018,0.879,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.54354354354354,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.54254254254254,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.22222222222222,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.74174174174174,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.14114114114114,-1.269,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.62062062062062,-0.624,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.3003003003003,-0.148,TRUE,TRUE,0.8
500,0.6,1,0.1,0.02002002002002,0.285,TRUE,TRUE,0.9
500,0.6,1,0.1,0.34034034034034,0.887,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.9039039039039,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-3.1031031031031,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.74274274274274,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.78178178178178,-2.718,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.22122122122122,-1.24,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.860860860860861,-0.677,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.54054054054054,-0.202,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.22022022022022,0.249,TRUE,TRUE,0.9
500,0.6,1,0.1,0.06006006006006,0.847,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.62362362362362,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.66266266266266,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.26226226226226,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.94194194194194,-2.328,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.22122122122122,-1.238,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.780780780780781,-0.678,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.42042042042042,-0.261,TRUE,TRUE,0.8
